[[0, 1, 2, 4], [5, 6, 3, 8], [9, 10, 7, 12], [13, 14, 11, 15]]
[[0, 1, 2, 4], [5, 7, 3, 8], [9, 6, 10, 11], [13, 14, 15, 12]]
[[1, 2, 4, 0], [5, 6, 3, 8], [9, 14, 7, 12], [13, 11, 10, 15]]
[[1, 2, 3, 4], [5, 6, 8, 0], [9, 10, 7, 12], [13, 14, 11, 15]]
[[1, 2, 3, 0], [5, 6, 7, 4], [9, 10, 11, 15], [13, 14, 12, 8]]
[[1, 2, 3, 0], [5, 6, 7, 4], [9, 10, 11, 8], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 14, 11, 12], [13, 15, 10, 0]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 12, 15], [13, 14, 11, 0]]
[[1, 2, 7, 3], [6, 9, 11, 4], [5, 0, 10, 8], [13, 14, 15, 12]]
[[1, 2, 3, 4], [0, 6, 7, 8], [5, 10, 11, 12], [9, 13, 14, 15]]
[[2, 0, 3, 4], [1, 5, 7, 8], [9, 6, 14, 12], [13, 11, 10, 15]]
[[1, 6, 2, 3], [5, 0, 7, 4], [9, 10, 15, 8], [13, 14, 12, 11]]
[[1, 2, 4, 0], [5, 6, 3, 7], [9, 10, 12, 8], [13, 14, 11, 15]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 12], [13, 14, 0, 15]]
[[1, 2, 3, 4], [5, 0, 6, 8], [9, 10, 7, 11], [13, 14, 15, 12]]
[[6, 2, 3, 4], [1, 5, 11, 7], [9, 10, 8, 12], [13, 14, 15, 0]]
[[1, 2, 8, 3], [5, 6, 7, 4], [9, 10, 11, 12], [13, 14, 0, 15]]
[[1, 2, 3, 4], [5, 6, 7, 8], [13, 9, 11, 12], [0, 10, 14, 15]]
[[1, 2, 3, 4], [5, 6, 0, 7], [9, 10, 11, 8], [13, 14, 15, 12]]
[[5, 1, 3, 4], [2, 6, 7, 8], [9, 0, 10, 11], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 14, 10, 11], [13, 0, 15, 12]]
[[1, 2, 3, 0], [5, 6, 7, 4], [9, 10, 15, 8], [13, 14, 12, 11]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 0, 11], [13, 14, 15, 12]]
[[1, 2, 4, 8], [5, 6, 3, 0], [9, 10, 7, 12], [13, 14, 11, 15]]
